driver_id,model,ac_kW,annual_km,annual_kWh,sessions,location,plugin_hour,window_h,has_solar,pv_kwp,cost_fix,cost_unc,cost_po,cost_sm,cost_sm_ext,peak_kwh_unc,peak_kwh_sm,peak_kwh_sm_ext,sc_kwh_total,solar_value_total,ere_revenue_ext,ere_revenue_grid_only,value_baseline_smart,value_extended
10,Tesla Model 3,11.0,10046.98224987164,1175.4969232349818,40,private,21,13,True,4.371212907126933,407.5907809912603,310.3776927863601,264.63529073666024,272.02556639514313,265.39811702211756,440.0,0.0,0.0,32.777637968906625,8.161631854257747,107.20108826333974,96.20587025116983,231.771084847287,257.5553840867402
11,Ford Mustang Mach-E,11.0,7847.115817212845,1190.4074694711887,40,public,17,6,True,4.853653030601231,412.7608508275102,367.65246835039983,326.87037466484924,334.63424248192194,324.65082789834696,1293.9211624686836,876.264117161386,876.8297405022121,37.86756020094744,9.429022490035914,108.93584687005861,97.42618997146894,175.55279831705718,206.47489228925775
12,Hyundai Kona Electric,11.0,11921.949833548999,1484.2827542768503,40,public,17,5,False,0.0,514.6589115372991,472.14468233485513,442.20267442255863,447.86114708402255,447.86114708402255,1613.3508198661427,1613.3508198661393,1613.3508198661393,0.0,0.0,132.04102586547847,121.4777437962401,188.27550824951666,198.83879031875503
13,BMW iX1,11.0,11964.779875211585,1665.4973586294527,42,public,17,5,True,2.7064463354355026,577.4931058726039,541.4144417237643,505.5426946195134,511.86067203620075,505.6962322495917,1810.3232159015786,1810.3232159015752,1810.3232159015754,20.634535842902444,5.137999424882708,149.81712861243943,136.30884064503934,201.9412744814425,226.75200166033437
14,Kia EV3,11.0,7597.733586607813,1017.3365272467861,40,workplace,10,9,False,0.0,352.7503828170918,245.47416704713513,232.89379893715017,239.92694604261857,239.92694604261857,0.0,9.366115611238374,9.366115611238374,0.0,0.0,90.50173110280134,83.26159261457721,196.08502938905045,203.32516787727457
15,Volvo EX30,11.0,11452.564956865297,1540.3699866983825,40,workplace,9,9,True,6.298401506209935,534.1065497356345,360.77983571979826,337.1236437032551,347.39714218613,226.74780368897368,0.0,13.58695652173913,36.966575725499524,572.8055145692072,142.6285731277327,182.98216456564154,126.06807567923941,312.77748322874396,632.969483740035
16,Volkswagen ID.4,11.0,12560.926972418138,1787.4199081751012,40,private,18,13,False,0.0,619.7684246824535,553.2994232217304,455.1082795829881,460.34659023120287,460.34659023120287,1760.0,16.164125444298982,16.164125444298982,0.0,0.0,159.0079502357394,146.2873142168802,305.70914866813087,318.42978468699005
17,Tesla Model Y,11.0,11769.906329236715,1939.6805630582107,43,public,2,6,False,0.0,672.5631517560537,490.06570659823956,483.98803245609594,488.15616502603456,488.15616502603456,0.0,0.0,0.0,0.0,0.0,172.5529793158018,158.74874097053777,343.1557277005569,356.9599660458209
18,BMW iX1,11.0,12334.039449437456,1716.898291361694,44,private,0,14,True,5.949529908677938,595.3158205917175,436.7397038753742,370.65925851944013,392.2999740733821,315.70484970112767,0.0,0.0,0.0,370.6308997128801,92.28709402850711,182.4671638960049,140.51563299598675,343.5314795143222,554.3652288151019
19,Volkswagen ID.3,11.0,7874.650675181259,1069.377561689615,40,private,20,15,False,0.0,370.79504584672515,310.6514831640191,239.5348761466198,251.12771376729555,251.12771376729555,880.0,0.0,0.0,0.0,0.0,95.13127460125668,87.52077263315616,207.18810471258575,214.79860668068628
20,Renault Megane E-Tech,22.0,11674.97793944167,1556.2745593275745,44,workplace,7,9,True,3.2694554396119284,539.6212874190179,435.4860473644875,328.4604614513269,335.62233992318056,276.8587557861323,0.0,0.0,0.0,288.9944276915287,71.95961249519065,161.6291125367032,127.36974922726833,331.3686967231057,496.35125666477944
